ciudad,date,value
Sucre,2016-10-01,8198.583371080023
Tarija,2016-10-01,6558.501093322628
Montero,2016-10-01,3733.1227316615054
Santa Cruz de la Sierra,2016-10-01,73976.42873418078
Santa Cruz Metrópoli,2016-10-01,124462.23190188981
El Alto; La Paz,2016-11-01,76479.45419528188
Caranavi,2016-11-01,276.4142422985133
Riberalta,2016-11-01,1179.555312149008
Oruro,2016-11-01,22518.511092227644
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-11-01,59723.458645370534
Trinidad,2016-11-01,2899.395395649707
Potosí,2016-11-01,10900.608574310936
Sucre,2016-11-01,9125.855508365086
Tarija,2016-11-01,7432.0639137850685
Montero,2016-11-01,3397.1852788541833
Santa Cruz de la Sierra,2016-11-01,69265.33153280277
Santa Cruz Metrópoli,2016-11-01,121218.24373662019
El Alto; La Paz,2016-12-01,65763.16205707543
Caranavi,2016-12-01,262.17331410939323
Riberalta,2016-12-01,1137.1499732439943
Oruro,2016-12-01,20306.862121222883
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2016-12-01,56539.05003640563
Trinidad,2016-12-01,2470.8310420843186
Potosí,2016-12-01,9895.457908290475
Sucre,2016-12-01,10164.568219684048
Tarija,2016-12-01,7158.539057188173
Montero,2016-12-01,3053.653945190825
Santa Cruz de la Sierra,2016-12-01,64965.290960523984
Santa Cruz Metrópoli,2016-12-01,96293.84039990032
El Alto; La Paz,2017-01-01,68354.07021673386
Caranavi,2017-01-01,148.21658221044953
Riberalta,2017-01-01,7226.77607958907
Oruro,2017-01-01,20076.8412997771
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-01-01,60921.42885672963
Trinidad,2017-01-01,2782.223775654389
Potosí,2017-01-01,10178.801864675217
Sucre,2017-01-01,10047.552561645298
Tarija,2017-01-01,9100.920415724024
Montero,2017-01-01,3765.6448924511083
Santa Cruz de la Sierra,2017-01-01,73058.16684084471
Santa Cruz Metrópoli,2017-01-01,118680.9529585102
El Alto; La Paz,2017-02-01,72225.73856594361
Caranavi,2017-02-01,331.83215097884334
Riberalta,2017-02-01,1500.8173500901992
Oruro,2017-02-01,22242.79282387516
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-02-01,60584.299809254975
Trinidad,2017-02-01,2066.8026067134133
Potosí,2017-02-01,9093.41395635196
Sucre,2017-02-01,9753.9178090438
Tarija,2017-02-01,8053.561871749749
Montero,2017-02-01,3365.1073632682073
Santa Cruz de la Sierra,2017-02-01,44429.42476125857
Santa Cruz Metrópoli,2017-02-01,91354.33080774469
El Alto; La Paz,2017-03-01,54878.36063021672
Caranavi,2017-03-01,435.1703667614976
Riberalta,2017-03-01,1225.382403661808
Oruro,2017-03-01,19673.708811134453
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-03-01,8445.944906491275
Trinidad,2017-03-01,2603.468946296839
Potosí,2017-03-01,8365.153875578504
Sucre,2017-03-01,7135.179372292292
Tarija,2017-03-01,4881.614910439886
Montero,2017-03-01,3312.904509597197
Santa Cruz de la Sierra,2017-03-01,61973.6436594921
Santa Cruz Metrópoli,2017-03-01,119175.33896956845
El Alto; La Paz,2017-04-01,76614.1674536521
Caranavi,2017-04-01,351.95049987511305
Riberalta,2017-04-01,1600.3373539252032
Oruro,2017-04-01,22905.857431799523
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-04-01,62244.11494466251
Trinidad,2017-04-01,3203.6673079688767
Potosí,2017-04-01,10818.396550500624
Sucre,2017-04-01,9892.448907632926
Tarija,2017-04-01,7313.615057685564
Montero,2017-04-01,2585.3124599463795
Santa Cruz de la Sierra,2017-04-01,53826.574227195866
Santa Cruz Metrópoli,2017-04-01,113166.68354587432
El Alto; La Paz,2017-05-01,78532.6747933748
Caranavi,2017-05-01,398.11686977118836
Riberalta,2017-05-01,1591.1807698789037
Oruro,2017-05-01,22972.335065201736
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-05-01,62236.3979281327
Trinidad,2017-05-01,2464.164353905618
Potosí,2017-05-01,11406.988437287597
Sucre,2017-05-01,10778.608025002242
Tarija,2017-05-01,8551.013992758004
Montero,2017-05-01,3397.5565846803743
Santa Cruz de la Sierra,2017-05-01,64293.76088291433
Santa Cruz Metrópoli,2017-05-01,116852.81418718092
El Alto; La Paz,2017-06-01,79783.42785684414
Caranavi,2017-06-01,374.19200219466694
